variant,intensity,target,n_seeds,rescue_mean,rescue_sd,positive_seeds,anchor_mae,corrected_mae,nn_delta_mae,abs_gain_vs_xgb_diff,pct_gain_vs_xgb_diff,nominal_anchor_mae,nominal_final_mae,nominal_penalty_rel,overall_anchor_mae,overall_final_mae,overall_abs_gain,overall_pct_gain,gate_applied_rate,safety_pass_rate,rescue_ci_lo,rescue_ci_hi,ci_method
Unified Encoder,0.1,dissolved oxygen,5,0.0,0.0,0,0.5430705659465186,0.5430705659465186,0.5430705659465186,0.0,0.0,0.0753982036374509,0.0753982036374509,0.0,0.5387402662955086,0.5387402662955086,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
Unified Encoder,0.1,electric conductivity,5,0.0,0.0,0,10.910078120797689,10.910078120797689,10.910078120797689,0.0,0.0,2.2918391813828918,2.2918391813828918,0.0,10.830279612099405,10.830279612099405,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
Unified Encoder,0.1,ph,5,0.0,0.0,0,0.39434349599527485,0.39434349599527485,0.39434349599527485,0.0,0.0,0.09777524759217679,0.09777524759217679,0.0,0.3915974936952461,0.3915974936952461,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
Unified Encoder,0.1,temperature,5,0.0,0.0,0,1.1415392156246804,1.1415392156246804,1.1415392156246804,0.0,0.0,0.049087525158932235,0.049087525158932235,0.0,1.131423922194442,1.131423922194442,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
Unified Encoder,0.15,dissolved oxygen,5,0.0,0.0,0,0.5729190160291722,0.5729190160291722,0.5729190160291722,0.0,0.0,0.049900908209383435,0.049900908209383435,0.0,0.5680762557715815,0.5680762557715815,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
Unified Encoder,0.15,electric conductivity,5,0.0,0.0,0,16.44114334304905,16.44114334304905,16.44114334304905,0.0,0.0,2.5417948444678755,2.5417948444678755,0.0,16.312445671765893,16.312445671765893,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
Unified Encoder,0.15,ph,5,0.0,0.0,0,0.5849868839379386,0.5849868839379386,0.5849868839379386,0.0,0.0,0.07422739695758121,0.07422739695758121,0.0,0.5802576294288613,0.5802576294288613,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
Unified Encoder,0.15,temperature,5,0.018092243081058022,0.04045548539469597,1,1.6902684176694371,1.658636209569448,1.658636209569448,0.031632208099989116,1.8092243081058021,0.0498087007551255,0.0498087007551255,0.0,1.6750789758461564,1.643739658561908,0.03133931728424852,1.8090540885936026,0.2,0.2,-0.03213987666339427,0.06832436282551031,"two-sided Student-t, df=n_seeds-1"
Unified Encoder,0.2,dissolved oxygen,5,0.0,0.0,0,0.6137926780658777,0.6137926780658777,0.6137926780658777,0.0,0.0,0.05501096639782188,0.05501096639782188,0.0,0.6086187733282105,0.6086187733282105,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
Unified Encoder,0.2,electric conductivity,5,0.03175581527981666,0.06492690910901233,2,23.17005392219017,22.425692280896506,22.425692280896506,0.7443616412936649,3.175581527981667,1.1582048922773822,1.1582048922773822,0.0,22.96624050524653,22.228771101372253,0.7374694038742788,3.173557220874219,0.4,0.4,-0.04886159027549214,0.11237322083512546,"two-sided Student-t, df=n_seeds-1"
Unified Encoder,0.2,ph,5,0.00849814767384728,0.01900243588155423,1,0.7958471537957175,0.7896851840817356,0.7896851840817356,0.00616196971398178,0.8498147673847288,0.10378135141606956,0.10378135141606956,0.0,0.7894391371070171,0.7833342226681647,0.00610491443885236,0.8488282300554395,0.2,0.2,-0.015096492838454057,0.032092788186148614,"two-sided Student-t, df=n_seeds-1"
Unified Encoder,0.2,temperature,5,0.0,0.0,0,2.2658672024667,2.2658672024667,2.2658672024667,0.0,0.0,0.057917301356754734,0.057917301356754734,0.0,2.245423221900867,2.245423221900867,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
Unified Encoder,0.25,dissolved oxygen,5,0.0,0.0,0,0.6542956244826671,0.6542956244826671,0.6542956244826671,0.0,0.0,0.03122904952615494,0.03122904952615494,0.0,0.6485264895293661,0.6485264895293661,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
Unified Encoder,0.25,electric conductivity,5,0.0,0.0,0,28.789379383381437,28.789379383381437,28.789379383381437,0.0,0.0,1.517518246670005,1.517518246670005,0.0,28.536862150634107,28.536862150634107,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
Unified Encoder,0.25,ph,5,0.0,0.0,0,1.0173323885476901,1.0173323885476901,1.0173323885476901,0.0,0.0,0.09036575305897328,0.09036575305897328,0.0,1.008749364145017,1.008749364145017,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
Unified Encoder,0.25,temperature,5,0.0,0.0,0,2.725576976793045,2.725576976793045,2.725576976793045,0.0,0.0,0.02350969389069698,0.02350969389069698,0.0,2.70055783528469,2.70055783528469,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
